contract,category,n_spans,strict_json_ok,parse_error,tokens_in,tokens_out,latency_s,cost_usd,raw_path
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Governing Law,0,True,,356,9,3.44,0.00082,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155029__extraction-v2__gpt-5.6-terra__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Governing-Law.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Expiration Date,0,True,,354,27,1.75,0.00103,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155031__extraction-v2__gpt-5.6-terra__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Expiration-Date.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Termination For Convenience,0,True,,400,25,1.74,0.0011,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155033__extraction-v2__gpt-5.6-terra__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Termination-For-Convenience.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Cap On Liability,0,True,,377,9,1.92,0.00086,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155035__extraction-v2__gpt-5.6-terra__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Cap-On-Liability.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Ip Ownership Assignment,0,True,,414,24,1.94,0.00112,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155037__extraction-v2__gpt-5.6-terra__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Ip-Ownership-Assignment.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Non-Compete,0,True,,371,9,1.19,0.00085,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155038__extraction-v2__gpt-5.6-terra__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Non-Compete.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Governing Law,0,True,,643,8,1.13,0.00138,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155039__extraction-v2__gpt-5.6-terra__BANGIINC_05_25_2005-EX-10-Premium_Manage__Governing-Law.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Expiration Date,1,True,,641,34,1.7,0.00169,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155041__extraction-v2__gpt-5.6-terra__BANGIINC_05_25_2005-EX-10-Premium_Manage__Expiration-Date.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Termination For Convenience,0,True,,687,29,1.59,0.00172,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155042__extraction-v2__gpt-5.6-terra__BANGIINC_05_25_2005-EX-10-Premium_Manage__Termination-For-Convenience.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Cap On Liability,0,True,,664,24,1.52,0.00162,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155044__extraction-v2__gpt-5.6-terra__BANGIINC_05_25_2005-EX-10-Premium_Manage__Cap-On-Liability.txt
