contract,category,n_spans,strict_json_ok,parse_error,tokens_in,tokens_out,latency_s,cost_usd,raw_path
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Governing Law,0,True,,535,9,2.56,0.00116,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155156__extraction-v2__claude-sonnet-5__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Governing-Law.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Expiration Date,0,True,,530,9,2.26,0.00115,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155158__extraction-v2__claude-sonnet-5__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Expiration-Date.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Termination For Convenience,0,True,,608,9,1.3,0.00131,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155200__extraction-v2__claude-sonnet-5__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Termination-For-Convenience.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Cap On Liability,0,True,,570,9,1.33,0.00123,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155201__extraction-v2__claude-sonnet-5__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Cap-On-Liability.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Ip Ownership Assignment,0,True,,624,9,1.3,0.00134,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155202__extraction-v2__claude-sonnet-5__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Ip-Ownership-Assignment.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Non-Compete,0,True,,556,9,2.27,0.0012,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155204__extraction-v2__claude-sonnet-5__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Non-Compete.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Governing Law,0,True,,1020,9,2.37,0.00213,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155207__extraction-v2__claude-sonnet-5__BANGIINC_05_25_2005-EX-10-Premium_Manage__Governing-Law.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Expiration Date,1,True,,1015,42,2.59,0.00245,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155209__extraction-v2__claude-sonnet-5__BANGIINC_05_25_2005-EX-10-Premium_Manage__Expiration-Date.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Termination For Convenience,0,True,,1093,9,1.68,0.00228,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155211__extraction-v2__claude-sonnet-5__BANGIINC_05_25_2005-EX-10-Premium_Manage__Termination-For-Convenience.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Cap On Liability,0,True,,1055,9,2.27,0.0022,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155213__extraction-v2__claude-sonnet-5__BANGIINC_05_25_2005-EX-10-Premium_Manage__Cap-On-Liability.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Ip Ownership Assignment,0,True,,1109,9,2.29,0.00231,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155216__extraction-v2__claude-sonnet-5__BANGIINC_05_25_2005-EX-10-Premium_Manage__Ip-Ownership-Assignment.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Non-Compete,0,True,,1041,9,2.21,0.00217,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155218__extraction-v2__claude-sonnet-5__BANGIINC_05_25_2005-EX-10-Premium_Manage__Non-Compete.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Governing Law,1,True,,6673,53,2.89,0.01388,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155221__extraction-v2__claude-sonnet-5__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Governing-Law.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Expiration Date,1,True,,6668,112,3.28,0.01446,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155224__extraction-v2__claude-sonnet-5__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Expiration-Date.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Termination For Convenience,0,True,,6746,9,2.73,0.01358,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155227__extraction-v2__claude-sonnet-5__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Termination-For-Convenience.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Cap On Liability,4,True,,6708,544,5.12,0.01886,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155232__extraction-v2__claude-sonnet-5__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Cap-On-Liability.txt
