contract,category,n_spans,strict_json_ok,parse_error,tokens_in,tokens_out,latency_s,cost_usd,raw_path
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Governing Law,0,True,,364,6,4.76,0.0008,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155324__extraction-v2__gemini-3.1-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Governing-Law.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Expiration Date,0,True,,362,6,5.85,0.0008,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155329__extraction-v2__gemini-3.1-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Expiration-Date.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Termination For Convenience,0,True,,407,5,4.33,0.00087,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155334__extraction-v2__gemini-3.1-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Termination-For-Convenience.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Cap On Liability,0,True,,385,6,12.77,0.00084,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155346__extraction-v2__gemini-3.1-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Cap-On-Liability.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Ip Ownership Assignment,0,True,,423,6,5.7,0.00092,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155352__extraction-v2__gemini-3.1-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Ip-Ownership-Assignment.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Non-Compete,0,True,,378,6,20.06,0.00083,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155412__extraction-v2__gemini-3.1-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Non-Compete.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Governing Law,0,True,,711,6,9.28,0.00149,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155422__extraction-v2__gemini-3.1-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Governing-Law.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Expiration Date,1,True,,709,47,4.96,0.00198,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155426__extraction-v2__gemini-3.1-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Expiration-Date.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Termination For Convenience,0,True,,754,10,4.93,0.00163,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155431__extraction-v2__gemini-3.1-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Termination-For-Convenience.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Cap On Liability,0,True,,732,6,4.29,0.00154,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155436__extraction-v2__gemini-3.1-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Cap-On-Liability.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Ip Ownership Assignment,0,True,,770,6,4.72,0.00161,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155440__extraction-v2__gemini-3.1-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Ip-Ownership-Assignment.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Non-Compete,0,True,,725,6,4.31,0.00152,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155445__extraction-v2__gemini-3.1-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Non-Compete.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Governing Law,1,True,,4028,32,5.77,0.00844,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155451__extraction-v2__gemini-3.1-pro__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Governing-Law.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Expiration Date,1,True,,4026,73,7.55,0.00893,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155458__extraction-v2__gemini-3.1-pro__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Expiration-Date.txt
